tempo_entrega_dias,pedidos
0,2965
1.0,476
2.0,2933
3.0,3424
4.0,4489
5.0,5254
6.0,6475
7.0,7472
8.0,7189
9.0,6275
10.0,5791
11.0,5246
12.0,4935
13.0,4538
14.0,4141
15.0,3323
16.0,2861
17.0,2435
18.0,2314
19.0,1912
20.0,1782
21.0,1570
22.0,1365
23.0,1110
24.0,992
25.0,877
26.0,724
27.0,687
28.0,622
29.0,524
30.0,441
31.0,394
32.0,367
33.0,316
34.0,306
35.0,291
36.0,261
37.0,203
38.0,174
39.0,166
40.0,137
41.0,168
42.0,140
43.0,128
44.0,115
45.0,106
46.0,113
47.0,77
48.0,77
49.0,60
50.0,68
51.0,45
52.0,50
53.0,36
54.0,39
55.0,32
56.0,40
57.0,22
58.0,25
59.0,29
60.0,17
61.0,17
62.0,12
63.0,12
64.0,11
65.0,9
66.0,15
67.0,10
68.0,14
69.0,11
70.0,19
71.0,11
72.0,10
73.0,3
74.0,5
75.0,10
76.0,8
77.0,2
78.0,6
79.0,3
80.0,4
81.0,5
82.0,2
83.0,3
84.0,4
85.0,4
86.0,6
87.0,1
88.0,2
90.0,1
91.0,2
93.0,1
94.0,1
95.0,1
96.0,2
97.0,2
98.0,1
100.0,3
101.0,2
102.0,1
103.0,1
104.0,2
105.0,3
106.0,2
107.0,3
108.0,2
110.0,2
115.0,1
117.0,1
119.0,1
125.0,1
126.0,2
130.0,1
131.0,2
132.0,1
133.0,1
135.0,1
137.0,1
138.0,1
139.0,1
142.0,2
143.0,1
144.0,1
145.0,1
146.0,1
148.0,1
165.0,1
166.0,1
168.0,4
172.0,1
173.0,1
174.0,1
175.0,1
181.0,1
183.0,1
186.0,1
187.0,1
188.0,2
190.0,1
191.0,1
194.0,1
195.0,2
196.0,1
208.0,1
210.0,1
