valor_medio_pedido,estado
242.970617283951,AC
234.774963680388,AL
188.965743243243,AM
239.158823529412,AP
182.439591715977,BA
209.179663173653,CE
165.953775700935,DF
160.338194786031,ES
173.313024752475,GO
204.180749665328,MA
160.915965620972,MG
192.35641958042,MS
206.206493936053,MT
223.893179487179,PA
264.077835820895,PB
196.640702179177,PE
219.240343434343,PI
160.784218037661,PR
166.851827731092,RJ
211.789958762887,RN
240.577865612648,RO
218.796086956522,RR
162.989121844127,RS
171.318787462194,SC
214.989285714286,SE
143.687314888007,SP
219.590464285714,TO
